Water Supply and Services - Others,Manorayanapalya
Bad Roads,Bellanduru
Potholes,Bellanduru
Bad Roads,Madivala 
Potholes,HSR Layout 
Garbage,Bellanduru
Stray Dogs,Govindaraja Nagar
Others,Banasavadi
Bad Roads,New Tippasandra
Bad Roads,Govindaraja Nagar
Others,Govindaraja Nagar
Potholes,Dodda Nekkundi
Garbage,Domlur
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Shakambari Nagar 
Potholes,Nagavara
Autorickshaws and Taxis,Jayamahal
Stray Dogs,Puttenahalli
Water Leakage,Benniganahalli
Potholes,Byatarayanapura
Others,HSR Layout 
Air Pollution,Arekere
Electricity,Maruthi Seva Nagar
Potholes,Sampangiram Nagar
Bad Roads,Dodda Nekkundi
Potholes,Devasandra
BMTC - Need new Bus Route,Hoodi
Potholes,Begur 
Potholes,Begur 
Potholes,Agaram
Electricity,Ramamurthy Nagar
Bad Roads,Nagapura
Air Pollution,Byrasandra 
Flooding of Roads and Footpaths,Vasanth Nagar
Potholes,Ramamurthy Nagar
Others,Thanisandra
Streetlights,Bellanduru
Traffic,Thanisandra
Garbage,Madivala 
Traffic,Ejipura
"Stray Animals, Insects - Others",Ganesh Mandir 
Bad Roads,Byrasandra 
Bad Roads,Shakambari Nagar 
Broken Storm Water Drains,Hoysala Nagar
Traffic,Banasavadi
Footpaths,Hoysala Nagar
Garbage,Yelchenahalli 
Water Supply and Services - Others,Jaraganahalli 
Water Supply ,Hanumantha Nagar
Stray Dogs,Jaraganahalli 
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Basavanagudi 
Garbage,Horamavu
Autorickshaws and Taxis,Mangamannapalya
Others,Lingarajapura
Potholes,HSR Layout 
BMTC - Need new Bus Route,HSR Layout 
Streetlights,Bellanduru
Others,Yelchenahalli 
Potholes,Nagavara
Need New Streetlights,Bilekahalli 
Potholes,Bilekahalli 
Potholes,Domlur
Potholes,Hoodi
Potholes,Domlur
Potholes,Uttarahalli
Electricity,Ganesh Mandir 
Air Pollution,HBR Layout
Overflow of Storm Water Drains,K R Puram
Potholes,Garudachar Palya
Bad Roads,Begur 
Need New Streetlights,Vishveshwarapura
Others,Arekere
Hawkers and Vendors,Garudachar Palya
Others,Dodda Nekkundi
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,New Tippasandra
Footpaths,Hoodi
Birth or death certificate,Konankunte
Stray Dogs,Dodda Nekkundi
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Kushal Nagar
Traffic,Subramanya Nagar
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Kadugodi
Bad Roads,Mattikere
Traffic,Mattikere
Bad Roads,Bellanduru
Bad Roads,Kodigehalli
Bad Roads,Malleswaram
BMTC - Need new Bus Route,Hagadur
Others,Yediyur
Bad Roads,Hoodi
Bad Roads,Vijnana Nagar
Water Supply ,Vijnana Nagar
Traffic,Subhash Nagar
Bad Roads,Vidyaranyapura
Others,Bommanahalli
Potholes,Begur 
Potholes,Dodda Nekkundi
Garbage,Horamavu
Bad Roads,Hoodi
Water Supply and Services - Others,Mangamannapalya
Footpaths,Jayamahal
Others,Shantala Nagar
Stray Dogs,Agaram
Potholes,Hoodi
Potholes,Kadugodi
Traffic,Devasandra
Traffic,Bagalakunte
Stray Dogs,Horamavu
Bad Roads,Hoodi
Public Nuisance,HSR Layout 
"Hi, BMTC,",Dodda Nekkundi
Bad Roads,Hoodi
Bad Roads,K R Puram
Hoardings,Konankunte
Footpaths,Konankunte
Bad Roads,Varthur 
Others,Sriramamandira 
Potholes,Deepanjali Nagar 
Potholes,Koramangala
Potholes,HSR Layout 
Bad Roads,C V Raman Nagar
Bad Roads,C V Raman Nagar
Water Supply ,Kaval Bairasandra
Bad Roads,Benniganahalli
Potholes,HAL Airport 
Need New Streetlights,Hoodi
BMTC - Others,Dodda Nekkundi
New Bus Shelters,Garudachar Palya
Bad Roads,Kadugondanahalli
Garbage,Ramamurthy Nagar
Stray Dogs,Adugodi
Stray Dogs,Vijnana Nagar
Air Pollution,Rajaji Nagar
Manholes,Konena Agrahara
No Sewage Drains,Bellanduru
Potholes,Deepanjali Nagar 
Potholes,Deepanjali Nagar 
Garbage,Girinagar 
Potholes,Dodda Nekkundi
Potholes,Deepanjali Nagar 
Bad Roads,HBR Layout
Bad Roads,Aramane Nagara
Garbage,Sampangiram Nagar
Broken Storm Water Drains,Vishwanath Nagenahalli
Birth or death certificate,Vishwanath Nagenahalli
Bad Roads,HAL Airport 
Stray Dogs,Jeevanbhima Nagar
Noise Pollution,Bellanduru
"This side drain has been dumped with construction material, mud from BWSSB pipeline, Garbage, Electric Poles, broken toilet pots and god knows what else. This has lead to the area becoming a dumping ground for garbage from nearby residents and this attracts a lot of stray cows and street dogs. Sometimes these street animals enter people homes and dirty the place with excrete and garbage bags.",Shanthi Nagar
Broken Storm Water Drains,Maruthi Mandira
Garbage,Gali Anjaneya Temple
Bad Roads,Ramamurthy Nagar
Stray Dogs,BTM Layout 
Streetlights,Horamavu
Hoardings,Vijnana Nagar
Land Pollution,Lingarajapura
Land and Property Encroachment - Others,Domlur
Electricity,Domlur
Others,Konena Agrahara
Bad Roads,Vishwanath Nagenahalli
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,Vishwanath Nagenahalli
Garbage,Rajarajeshwari Nagar 
Bad Roads,Vijnana Nagar
Garbage,Agaram
Garbage,Shakambari Nagar 
Others,Hoysala Nagar
Bad Roads,Katriguppe
Potholes,Dodda Nekkundi
"Stray Animals, Insects - Others",Konena Agrahara
Potholes,Varthur 
Footpaths,Dodda Nekkundi
Bad Roads,HAL Airport 
Garbage,Hoodi
Stray Dogs,Thanisandra
Poor Maintenance of Buildings and Heritage Sites,Hoysala Nagar
Others,Shantala Nagar
Garbage,Arekere
Flooding of Roads and Footpaths,Shakthi Ganapathi Nagar
Potholes,Pulikeshinagar
Footpaths,Bellanduru
NULL,Ulsoor
NULL,Pattabhiram Nagar 
Potholes,Vijnana Nagar
Traffic,C V Raman Nagar
Diseases,Konena Agrahara
Water Supply ,Jaraganahalli 
Bad Roads,Girinagar 
No Sewage Drains,Byrasandra 
Flooding of Roads and Footpaths,HAL Airport 
Stray Dogs,Kushal Nagar
Hawkers and Vendors,Lakkasandra 
Parks and playgrounds,Agaram
Garbage,Bellanduru
Air Pollution,Banasavadi
Flooding of Roads and Footpaths,Girinagar 
Water Meter,Rajarajeshwari Nagar 
Others,Jakkasandra
Birth or death certificate,Vishwanath Nagenahalli
Hoardings,Puttenahalli
Streetlights,A Narayanapura
Bad Roads,C V Raman Nagar
Others,Adugodi
Flooding of Roads and Footpaths,Vishwanath Nagenahalli
Garbage,Bellanduru
Streetlights,Hoodi
Bad Roads,Puttenahalli
Removal of Encroachment - Lakes,Gottigere
Potholes,Dodda Nekkundi
Bad Roads,Dodda Nekkundi
Traffic,Hagadur
Bad Roads,Basavanapura
Others,Shantala Nagar
